sample	metagenome	unclassified	reads_total	bacteria	archaea	eukaryotes	viruses	pro_all	pro_HL	pro_HLI	pro_HLII	pro_HLIII_HLIV	pro_HLVI	pro_LL	pro_LLI	pro_LLII_LLIII	pro_LLII	pro_LLIII	pro_LLIV	pro_LLVII	pro_LLVIIa	pro_LLVIIb	pro_LLVIIc	pro_LLVIId	pro_LLVIIe	pro_LLVIIf	pro_LL_MIT1223	pel_all	pel_Ia	pel_Ia_BALTIC	pel_Ia_HIMB5	pel_Ia_1	pel_Ia_3	pel_Ia_3a	pel_Ia_3b	pel_Ib	pel_Ib_1	pel_Ib_2	pel_Ib_3	pel_Ic	pel_IIa	pel_IIa_1	pel_IIa_2	pel_IIb	pel_IIIa	pel_IIIb	pel_IV	pel_V	pel_Va	pel_Vb
S0001	simons	9881818	13408106	2838834	116640	492552	24537	8470	1382	307	815	44	31	6684	638	385	232	127	3151	1942	319	325	648	249	180	33	82	256315	195162	2856	876	103882	69777	11531	53747	8768	4710	1238	1211	1470	12370	11339	876	2477	3161	260	9825	5403	2349	3049
S0002	simons	10418658	20023118	8053884	626296	770514	44578	11905	3246	743	1955	157	106	8217	1175	1290	1057	204	3165	1976	371	349	612	248	189	26	101	1290948	1004522	13661	4772	432491	477105	71515	377924	44107	24170	5859	6254	6911	58572	54031	3880	10704	9850	1324	39599	37593	10585	26939
S0003	simons	8943320	19487370	9197607	680324	524361	38593	10536	3675	792	2367	129	140	6595	1179	1469	1306	139	2091	1536	296	214	481	239	136	15	85	1758986	1361338	18776	7025	551349	686080	105086	543229	63477	34363	8224	9405	10321	86589	80048	5577	15855	11941	1787	50726	56350	12685	43565
S0004	simons	7566507	18656356	9218992	1632070	74648	41549	8951	4593	1034	2996	190	180	4263	1178	788	663	111	1056	1061	279	140	312	107	111	8	97	2778305	1967582	28064	12864	816554	965406	225327	684362	159157	72292	23531	24499	34232	193545	178284	13107	58394	19648	3335	54978	116783	17469	99033
S0005	simons	7014686	18041910	8824793	1960437	78326	33847	8530	4099	987	2557	231	170	4340	1163	745	607	117	1326	988	280	135	274	102	80	11	63	2139375	1301869	20822	10537	525641	648500	191892	418345	183286	72596	28046	25239	75522	189629	172033	15269	110965	16734	3011	26608	92302	12544	79583
S0006	simons	5947337	13731707	6026672	1568895	60550	12044	5859	2634	671	1612	144	109	3142	850	548	464	74	764	865	252	108	221	74	95	11	60	1225868	541839	10555	5599	253451	230674	75649	142126	157862	55310	21588	18940	131285	95318	82198	11753	138645	11135	2595	9999	47352	6120	41169
S0008	simons	9634877	15710766	4651608	244087	1081072	31636	8769	2823	715	1668	93	81	5541	805	644	473	147	1985	1594	293	261	494	241	131	28	64	856498	645763	7444	3513	143664	445465	76807	340526	46514	25096	7138	6200	4192	37305	33632	3134	7619	3905	665	22294	31569	7419	24087
S0009	simons	10528984	19026750	6749928	1143507	456974	30214	6911	3647	763	2520	131	87	3141	721	550	448	83	962	772	202	102	257	80	71	5	53	1482700	1010559	10335	7134	114474	813232	196290	565149	140831	69518	24958	18562	13140	98685	87037	10285	26319	4872	1027	23810	57874	11453	46317
S0010	simons	8283556	17257312	7081762	1249281	493260	21825	7240	3795	762	2664	98	111	3290	765	530	414	96	952	858	199	101	286	103	78	10	61	1665701	1085192	11179	8096	118228	876393	227232	592853	179406	85712	32648	23383	18192	121277	105905	13464	38143	5365	1288	25372	68076	12970	54967
S0011	simons	8209676	21307495	10882787	1565247	444360	41514	12466	7130	1534	4915	174	193	5139	1188	1105	921	157	1304	1293	307	173	390	157	113	26	96	3240553	2083404	21825	16150	209506	1707684	459887	1143564	387940	185093	71269	48995	39379	221796	191181	27337	83224	10207	2735	44739	132734	24523	107961
S0012	simons	6085243	17169577	8790334	2068082	74259	21285	10059	5443	962	3916	180	164	4504	1126	875	733	120	1240	1052	288	152	282	113	98	15	95	2734880	1402404	17460	14199	128702	1161211	378042	715222	487594	215625	94084	54943	83110	208324	171888	33290	167988	10766	3173	29720	140353	18257	121873
S0013	simons	6778985	18717426	9195613	2517575	60584	27508	10649	5767	1193	3983	245	185	4774	1070	997	865	111	1459	1084	302	148	305	126	99	10	76	2737443	1201018	16886	13880	119932	977319	351570	566295	526188	222276	100402	58636	124323	234810	192069	38946	245967	12150	3714	28506	145685	15369	130048
S0015	simons	5522482	15860946	9635528	424161	179376	7069	96561	68414	47682	9595	231	450	25844	12410	1723	1272	390	4720	5097	879	1096	1239	954	354	79	230	2319502	1557461	8281	9228	16536	1434556	378627	957046	203254	112021	32242	29727	8137	135715	120755	12599	15420	3698	1071	72921	141545	55057	86210
S0016	simons	6407090	16522015	8965156	727816	317715	5910	37574	23998	14565	5755	141	196	12883	7490	1370	1189	147	1679	1727	373	361	441	250	136	22	91	2050427	1342032	7315	8560	15214	1235671	334331	817866	188979	98156	33218	27461	9863	132724	116468	13887	21247	3462	1117	53581	135162	46291	88603
S0017	simons	6901022	15681870	7247600	1188578	241312	4191	11864	7191	3023	3194	100	111	4480	2040	528	434	74	851	867	249	119	234	105	65	12	46	1839398	978270	7445	7992	17097	882591	280025	538302	260482	117875	52456	36932	28752	184481	153049	27366	67837	5140	1511	30918	110306	27572	82484
S0018	simons	6191311	14707712	7095353	1254479	78350	4417	6804	3965	805	2792	113	91	2788	826	503	421	69	728	643	202	70	192	60	51	13	41	1818192	876337	7377	7790	18120	788488	253212	478962	304655	132912	64971	40446	40656	184855	145956	34594	100839	5861	1756	22313	112405	21219	90927
S0019	simons	6520166	16834151	8571386	1555896	80570	6571	9459	5612	1151	3957	161	129	3760	959	899	805	75	973	815	215	125	230	91	73	10	60	2580766	1208196	10655	11242	27724	1089438	332981	683580	464765	205614	97001	60381	69705	263527	205650	52330	162414	8913	2838	25894	154374	27774	126332
