sampleID	lat	lon	depth
S0001	49.7225	-42.4467	10
S0002	49.7225	-42.4467	50
S0003	49.7225	-42.4467	75
S0004	49.7225	-42.4467	101
S0005	49.7225	-42.4467	152
S0006	49.7225	-42.4467	199
S0008	46.312	-39.658	10
S0009	46.312	-39.658	49
S0010	46.312	-39.658	73
S0011	46.312	-39.658	100
S0012	46.312	-39.658	153
S0013	46.312	-39.658	198
S0015	36.2067	-53.2681	8
S0016	36.2067	-53.2681	50
S0017	36.2067	-53.2681	74
S0018	36.2067	-53.2681	102
S0019	36.2067	-53.2681	151
S0020	36.2067	-53.2681	199
S0021	37.5673	-50.6855	10
S0022	37.5673	-50.6855	52
S0023	37.5673	-50.6855	75
S0024	37.5673	-50.6855	103
S0025	37.5673	-50.6855	151
S0026	37.5673	-50.6855	201
S0027	34.3277	-55.4316	10
S0028	34.3277	-55.4316	50
S0029	34.3277	-55.4316	77
S0030	34.3277	-55.4316	103
S0031	34.3277	-55.4316	152
S0032	34.3277	-55.4316	199
S0033	13.1623	-53.4215	9
S0034	13.1623	-53.4215	75
S0035	13.1623	-53.4215	99
S0036	13.1623	-53.4215	150
S0037	13.1623	-53.4215	200
S0039	9.5462	-50.4686	9
S0040	9.5462	-50.4686	72
S0041	9.5462	-50.4686	100
S0042	9.5462	-50.4686	151
S0043	9.5462	-50.4686	201
S0044	16.8312	-56.2685	8
S0045	16.8312	-56.2685	76
S0046	16.8312	-56.2685	101
S0047	16.8312	-56.2685	150
S0048	16.8312	-56.2685	201
S0049	35.41617	-66.54077	31.3
S0050	35.41617	-66.54077	68
S0051	35.41617	-66.54077	111.1
S0052	35.41617	-66.54077	135.8
S0053	35.41617	-66.54077	186.3
S0054	35.41617	-66.54077	237.3
S0055	35.41617	-66.54077	291.5
S0057	24.1497	-40.21786	38.9
S0058	24.1497	-40.21786	65.2
S0059	24.1497	-40.21786	75.1
S0060	24.1497	-40.21786	113.9
S0061	24.1497	-40.21786	184
S0062	24.1497	-40.21786	233
S0063	24.1497	-40.21786	283.9
S0064	38.65497	-69.13131	28.4
S0065	38.65497	-69.13131	61.2
S0066	38.65497	-69.13131	86.4
S0067	38.65497	-69.13131	108.8
S0068	38.65497	-69.13131	135.6
S0069	38.65497	-69.13131	186.5
S0070	38.65497	-69.13131	234.7
S0071	38.65497	-69.13131	288.8
S0072	22.33305	-35.86703	39.9
S0073	22.33305	-35.86703	74.3
S0074	22.33305	-35.86703	99.7
S0075	22.33305	-35.86703	134.2
S0076	22.33305	-35.86703	183.8
S0077	22.33305	-35.86703	234.1
S0078	22.33305	-35.86703	300.8
S0079	22.33305	-35.86703	374.3
S0080	22.33305	-35.86703	499.6
S0081	22.33305	-35.86703	1055.2
S0082	31.75351	-64.17499	41.8
S0083	31.75351	-64.17499	75.7
S0084	31.75351	-64.17499	89.1
S0085	31.75351	-64.17499	109.7
S0086	31.75351	-64.17499	182.4
S0087	31.75351	-64.17499	233.3
S0088	31.75351	-64.17499	281.4
S0089	31.75351	-64.17499	414.2
S0090	26.13688	-44.82622	39.7
S0091	26.13688	-44.82622	60.7
S0092	26.13688	-44.82622	89.9
S0093	26.13688	-44.82622	110.7
S0094	26.13688	-44.82622	135.6
S0095	26.13688	-44.82622	185.7
S0096	26.13688	-44.82622	234.8
S0097	26.13688	-44.82622	284.8
S0098	17.3999	-24.49991	48.1
S0099	17.3999	-24.49991	71.6
S0100	17.3999	-24.49991	89.3
S0101	17.3999	-24.49991	135
S0102	17.3999	-24.49991	183.7
S0103	17.3999	-24.49991	234.5
S0104	17.3999	-24.49991	285.9
S0105	27.58305	-49.63297	40.1
S0106	27.58305	-49.63297	69.4
S0107	27.58305	-49.63297	99
S0108	27.58305	-49.63297	113.8
S0109	27.58305	-49.63297	133.7
S0110	27.58305	-49.63297	183.8
S0111	27.58305	-49.63297	233.6
S0112	27.58305	-49.63297	285
S0114	39.69225	-69.86286	30.2
S0115	39.69225	-69.86286	57.8
S0116	39.69225	-69.86286	89.2
S0117	39.69225	-69.86286	109.9
S0118	39.69225	-69.86286	135.4
S0119	39.69225	-69.86286	185.8
S0120	39.69225	-69.86286	285.9
S0122	38.32433	-68.87553	39.4
S0123	38.32433	-68.87553	65.6
S0124	38.32433	-68.87553	90.8
S0125	38.32433	-68.87553	111.1
S0126	38.32433	-68.87553	135.2
S0127	38.32433	-68.87553	184.1
S0128	38.32433	-68.87553	236.7
S0129	38.32433	-68.87553	285.3
S0130	37.60731	-68.3895	39.6
S0131	37.60731	-68.3895	64.6
S0132	37.60731	-68.3895	89.6
S0133	37.60731	-68.3895	111.1
S0134	37.60731	-68.3895	139.6
S0135	37.60731	-68.3895	160
S0136	37.60731	-68.3895	232.9
S0137	37.60731	-68.3895	284.7
S0138	19.43336	-29.38323	50
S0139	19.43336	-29.38323	74.5
S0140	19.43336	-29.38323	84
S0141	19.43336	-29.38323	123.8
S0142	19.43336	-29.38323	183.9
S0143	19.43336	-29.38323	233.1
S0144	19.43336	-29.38323	283.3
S0145	19.43336	-29.38323	389.4
S0147	24.7143	-67.0726	11
S0148	24.7143	-67.0726	77
S0149	24.7143	-67.0726	119
S0150	24.7143	-67.0726	152
S0151	24.7143	-67.0726	202
S0152	22.3411	-63.5833	12
S0153	22.3411	-63.5833	75
S0154	22.3411	-63.5833	100
S0155	22.3411	-63.5833	127
S0156	22.3411	-63.5833	200
S0157	47.8007	-39.399	9
S0158	47.8007	-39.399	50
S0159	47.8007	-39.399	75
S0160	47.8007	-39.399	101
S0161	47.8007	-39.399	152
S0162	47.8007	-39.399	201
S0163	31.6667	-64.167	10
S0164	31.6667	-64.167	75
S0165	31.6667	-64.167	100
S0166	31.6667	-64.167	150
S0167	31.6667	-64.167	202
S0168	28.0905	-67.5015	8
S0169	28.0905	-67.5015	76
S0170	28.0905	-67.5015	87
S0171	28.0905	-67.5015	150
S0172	28.0905	-67.5015	200
S0173	22.75	-158	1000
S0174	22.75	-158	600
S0175	22.75	-158	5
S0177	-35.0093	-39.431	49
S0178	-35.0093	-39.431	151
S0179	-32.092	-37.4563	10
S0180	-32.092	-37.4563	149
S0181	-29.0538	-35.8078	11
S0182	-29.0538	-35.8078	50
S0183	-29.0538	-35.8078	150
S0184	-26.0867	-34.2585	10
S0185	-26.0867	-34.2585	50
S0186	-26.0867	-34.2585	151
S0187	-22.4732	-32.7487	9
S0188	-22.4732	-32.7487	49
S0189	-22.4732	-32.7487	150
S0190	-17.0173	-30.6052	49
S0191	-12.8957	-29.2335	10
S0192	-12.8957	-29.2335	49
S0193	-12.8957	-29.2335	149
S0195	-17.0173	-30.6052	143
S0196	-9.1608	-28.0012	10
S0197	-9.1608	-28.0012	50
S0198	-9.1608	-28.0012	135
S0199	-5.6667	-28.4572	10
S0200	-5.6667	-28.4572	50
S0201	-5.6667	-28.4572	149
S0202	-2.6505	-28.9172	10
S0203	-2.6505	-28.9172	65
S0204	-2.6505	-28.9172	149
S0205	-0.1915	-32.8745	9
S0206	-0.1915	-32.8745	61
S0207	-0.1915	-32.8745	150
S0209	-49.5475	-52.6885	10
S0210	-49.5475	-52.6885	49
S0211	-48.9358	-48.7933	11
S0212	-48.9358	-48.7933	51
S0213	-48.9358	-48.7933	150
S0214	-46.907	-47.179	10
S0215	-46.907	-47.179	51
